rpm,voltage_v,current_a,power_elec_w,temperature_c,vibration_rms_g,throttle_pct,load_pct,efficiency_pct,residual_rpm,residual_current_a,residual_temperature_c,residual_vibration_g,norm_residual_rpm,norm_residual_current,norm_residual_temp,norm_residual_vibration,composite_residual_score,rolling_mean_rpm,rolling_std_rpm,rolling_mean_temp,rolling_std_temp,rolling_mean_vib,rolling_std_vib,thermal_slope_c_per_s,vibration_slope_g_per_s,electrical_loss_ratio,fault_class,is_anomaly,rul_hours,trajectory_id,step,severity
8949.8,14.81,22.31,330.46,74.8,0.509,76.38,58.13,64.64,80.5,1.03,8.98,0.002,0.67,1.29,3.59,0.03,2.57,9135.7,169.65,66.23,7.496,0.519,0.0296,1.295,0.0002,0.354,HIGH_LOAD,0,99.67,1,12,0.092
8754.3,14.78,21.69,320.53,75.83,0.499,75.26,58.54,62.57,40.6,1.07,8.64,0.005,0.34,1.34,3.46,0.06,2.62,9092.6,203.06,68.67,6.142,0.518,0.03,1.064,-0.0019,0.374,HIGH_LOAD,0,98.02,1,13,0.103
8958.0,14.75,22.63,333.85,77.01,0.504,77.02,58.96,64.59,65.2,1.11,8.39,-0.006,0.54,1.39,3.36,-0.08,2.49,9056.3,191.02,70.7,5.117,0.515,0.0297,0.911,-0.0006,0.354,HIGH_LOAD,0,96.36,1,14,0.116
8743.3,14.78,21.84,322.76,77.97,0.426,75.39,59.4,62.33,29.6,1.08,8.27,-0.068,0.25,1.35,3.31,-0.85,2.61,8987.2,165.04,72.44,4.274,0.506,0.04,0.769,-0.0067,0.377,HIGH_LOAD,0,94.66,1,15,0.128
9159.6,14.76,24.09,355.48,79.11,0.585,79.01,59.86,65.31,46.3,1.36,7.99,0.055,0.39,1.7,3.2,0.69,2.45,8990.6,168.16,73.94,3.681,0.51,0.0452,0.683,0.0041,0.347,HIGH_LOAD,0,92.95,1,16,0.141
9082.1,14.73,23.7,349.19,80.09,0.537,78.56,60.33,65.05,48.0,1.27,7.79,0.014,0.4,1.59,3.12,0.18,2.4,8975.8,152.12,75.27,3.239,0.513,0.0459,0.593,0.0047,0.349,HIGH_LOAD,1,91.21,1,17,0.155
9176.9,14.75,24.53,361.76,81.28,0.564,79.29,60.82,65.02,55.1,1.59,7.82,0.033,0.46,1.99,3.13,0.41,2.47,8976.5,153.06,76.45,3.045,0.524,0.0434,0.543,-0.0002,0.35,HIGH_LOAD,1,89.45,1,18,0.169
9016.8,14.79,23.96,354.43,81.99,0.514,77.67,61.31,63.2,66.7,1.77,7.68,-0.001,0.56,2.21,3.07,-0.01,2.58,8962.9,142.5,77.5,2.964,0.518,0.041,0.513,0.0005,0.368,HIGH_LOAD,1,87.68,1,19,0.183
8866.7,14.76,23.4,345.42,82.2,0.466,76.7,61.83,61.91,56.3,1.79,7.27,-0.037,0.47,2.24,2.91,-0.46,2.6,8960.8,143.75,78.45,2.801,0.515,0.0439,0.446,-0.0042,0.381,HIGH_LOAD,1,85.88,1,20,0.197
9064.8,14.82,24.51,363.3,83.08,0.512,78.22,62.35,63.16,51.7,1.84,7.37,-0.009,0.43,2.3,2.95,-0.11,2.55,8977.2,145.3,79.34,2.717,0.512,0.0429,0.46,0.0002,0.368,HIGH_LOAD,1,84.07,1,21,0.212
8958.8,14.74,24.44,360.23,83.51,0.486,77.66,62.89,61.74,68.8,2.28,7.23,-0.024,0.57,2.85,2.89,-0.3,2.72,8978.1,145.15,80.21,2.511,0.509,0.0436,0.427,-0.0007,0.383,HIGH_LOAD,1,82.24,1,22,0.228
9083.8,14.83,25.4,376.65,85.02,0.498,78.56,63.44,61.82,45.2,2.42,8.05,-0.026,0.38,3.02,3.22,-0.33,2.83,9011.1,126.85,81.13,2.421,0.509,0.0436,0.445,-0.0003,0.382,HIGH_LOAD,1,80.39,1,23,0.243
9083.6,14.73,25.24,371.81,85.23,0.509,79.26,64.0,62.89,36.2,2.12,7.62,-0.016,0.3,2.65,3.05,-0.2,2.64,9023.6,127.19,81.95,2.275,0.51,0.0436,0.403,0.0046,0.371,HIGH_LOAD,1,78.53,1,24,0.259
9025.0,14.77,25.39,375.0,85.98,0.496,78.21,64.57,61.42,84.0,2.7,7.91,-0.019,0.7,3.37,3.16,-0.24,2.92,9051.8,86.75,82.75,2.14,0.517,0.0342,0.382,-0.0049,0.386,HIGH_LOAD,1,76.65,1,25,0.276
8731.0,14.79,24.11,356.51,86.07,0.492,75.88,65.16,58.76,56.3,2.62,7.86,0.0,0.47,3.28,3.14,0.0,3.0,9009.0,121.73,83.45,1.968,0.507,0.026,0.332,-0.0025,0.412,HIGH_LOAD,1,74.75,1,26,0.293
8827.5,14.79,24.76,366.19,86.68,0.569,76.84,65.75,59.39,53.1,2.69,8.22,0.069,0.44,3.36,3.29,0.86,3.06,8983.5,130.1,84.1,1.833,0.511,0.031,0.3,0.0003,0.406,HIGH_LOAD,1,72.84,1,27,0.31
8877.9,14.76,25.13,370.96,87.12,0.506,77.35,66.36,59.91,74.0,2.82,8.4,0.003,0.62,3.53,3.36,0.04,3.06,8953.6,115.79,84.69,1.769,0.505,0.0253,0.285,-0.0004,0.401,HIGH_LOAD,1,70.92,1,28,0.327
8893.6,14.77,25.53,377.03,87.48,0.491,77.67,66.98,59.53,58.2,2.96,8.47,-0.015,0.49,3.7,3.39,-0.19,3.12,8941.3,114.96,85.24,1.697,0.502,0.0254,0.293,0.0014,0.405,HIGH_LOAD,1,68.98,1,29,0.345
8933.1,14.86,26.22,389.55,88.22,0.497,77.72,67.61,58.67,49.4,3.3,8.88,-0.014,0.41,4.12,3.55,-0.18,3.3,8947.9,112.35,85.84,1.577,0.506,0.0225,0.286,-0.0008,0.413,HIGH_LOAD,1,67.03,1,30,0.363
8961.7,14.85,26.28,390.21,88.75,0.531,78.05,68.25,59.41,57.8,3.16,9.08,0.018,0.48,3.95,3.63,0.23,3.24,8937.6,105.68,86.41,1.5,0.507,0.0238,0.291,0.0025,0.406,HIGH_LOAD,1,65.07,1,31,0.381
8582.3,14.85,24.7,366.83,88.82,0.481,75.06,68.9,55.78,32.5,3.23,9.22,0.0,0.27,4.04,3.69,0.0,3.44,8900.0,149.43,86.94,1.309,0.507,0.0243,0.211,-0.0009,0.442,HIGH_LOAD,1,63.09,1,32,0.399
9008.1,14.86,27.27,405.14,89.4,0.467,78.73,69.56,58.68,44.3,3.62,9.39,-0.051,0.37,4.53,3.76,-0.64,3.46,8892.4,141.64,87.38,1.327,0.504,0.027,0.232,-0.0023,0.413,HIGH_LOAD,1,61.1,1,33,0.418
8865.2,14.8,26.67,394.81,90.38,0.527,78.01,70.23,57.68,32.0,3.58,10.13,0.02,0.27,4.48,4.05,0.25,3.55,8870.5,126.5,87.89,1.392,0.506,0.0279,0.244,0.0017,0.423,HIGH_LOAD,1,59.1,1,34,0.437
8939.8,14.84,27.92,414.38,91.18,0.509,78.25,70.91,56.64,67.7,4.52,10.66,-0.001,0.56,5.65,4.26,-0.01,3.98,8862.0,118.42,88.41,1.544,0.507,0.0277,0.284,0.0009,0.434,HIGH_LOAD,1,57.09,1,35,0.457
8724.0,14.75,26.58,392.05,91.56,0.494,77.13,71.6,55.91,45.2,4.05,11.0,0.001,0.38,5.06,4.4,0.01,3.87,8861.3,119.21,88.96,1.59,0.507,0.0276,0.271,-0.0042,0.441,HIGH_LOAD,1,55.07,1,36,0.477
8565.1,14.76,25.86,381.82,91.54,0.489,75.79,72.3,54.6,44.3,4.01,11.09,0.01,0.37,5.01,4.44,0.13,3.92,8835.1,148.94,89.45,1.562,0.499,0.0187,0.246,-0.0009,0.454,HIGH_LOAD,1,53.03,1,37,0.497
8852.0,14.73,27.86,410.33,92.29,0.559,78.62,73.01,56.37,42.5,4.43,11.6,0.054,0.35,5.54,4.64,0.68,4.05,8832.5,148.4,89.96,1.562,0.504,0.026,0.267,0.0038,0.436,HIGH_LOAD,1,50.98,1,38,0.517
